,day,statename,PriceD,VolumeD,PriceR,VolumeR,state
1,24/1/2011,Alabama,0,0,0,0,AL
2,24/1/2011,Alaska,0,0,0,0,AK
3,24/1/2011,Arizona,0,0,0,0,AZ
4,24/1/2011,Arkansas,0,0,0,0,AR
5,24/1/2011,California,0,0,0,0,CA
6,24/1/2011,Colorado,0,0,0,0,CO
7,24/1/2011,Connecticut,0,0,0,0,CT
8,24/1/2011,Delaware,0,0,0,0,DE
9,24/1/2011,Florida,0,0,0,0,FL
10,24/1/2011,Georgia,0,0,0,0,GA
11,24/1/2011,Hawaii,0,0,0,0,HI
12,24/1/2011,Idaho,0,0,0,0,ID
13,24/1/2011,Illinois,0,0,0,0,IL
14,24/1/2011,Indiana,0,0,0,0,IN
15,24/1/2011,Iowa,0,0,0,0,IA
16,24/1/2011,Kansas,0,0,0,0,KS
17,24/1/2011,Kentucky,0,0,0,0,KY
18,24/1/2011,Louisiana,0,0,0,0,LA
19,24/1/2011,Maine,0,0,0,0,ME
20,24/1/2011,Maryland,0,0,0,0,MD
21,24/1/2011,Massachusetts,0,0,0,0,MA
22,24/1/2011,Michigan,0,0,0,0,MI
23,24/1/2011,Minnesota,0,0,0,0,MN
24,24/1/2011,Mississippi,0,0,0,0,MS
25,24/1/2011,Missouri,0,0,0,0,MO
26,24/1/2011,Montana,0,0,0,0,MT
27,24/1/2011,Nebraska,0,0,0,0,NE
28,24/1/2011,Nevada,0,0,0,0,NV
29,24/1/2011,New Hampshire,0,0,0,0,NH
30,24/1/2011,New Jersey,0,0,0,0,NJ
31,24/1/2011,New Mexico,0,0,0,0,NM
32,24/1/2011,New York,0,0,0,0,NY
33,24/1/2011,North Dakota,0,0,0,0,ND
34,24/1/2011,Ohio,0,0,0,0,OH
35,24/1/2011,Oklahoma,0,0,0,0,OK
36,24/1/2011,Oregon,0,0,0,0,OR
37,24/1/2011,Pennsylvania,0,0,0,0,PA
38,24/1/2011,Rhode Island,0,0,0,0,RI
39,24/1/2011,South Carolina,0,0,0,0,SC
40,24/1/2011,South Dakota,0,0,0,0,SD
41,24/1/2011,Tennessee,0,0,0,0,TN
42,24/1/2011,Texas,0,0,0,0,TX
43,24/1/2011,Utah,0,0,0,0,UT
44,24/1/2011,Vermont,0,0,0,0,VT
45,24/1/2011,Virginia,0,0,0,0,VA
46,24/1/2011,Washington,0,0,0,0,WA
47,24/1/2011,West Virginia,0,0,0,0,WV
48,24/1/2011,Wisconsin,0,0,0,0,WI
49,24/1/2011,Wyoming,0,0,0,0,WY
50,25/1/2011,Alabama,0,0,0,0,AL
51,25/1/2011,Alaska,0,0,0,0,AK
52,25/1/2011,Arizona,0,0,0,0,AZ
53,25/1/2011,Arkansas,0,0,0,0,AR
54,25/1/2011,California,0,0,0,0,CA
55,25/1/2011,Colorado,0,0,0,0,CO
56,25/1/2011,Connecticut,0,0,0,0,CT
57,25/1/2011,Delaware,0,0,0,0,DE
58,25/1/2011,Florida,0,0,0,0,FL
59,25/1/2011,Georgia,0,0,0,0,GA
60,25/1/2011,Hawaii,0,0,0,0,HI
61,25/1/2011,Idaho,0,0,0,0,ID
62,25/1/2011,Illinois,0,0,0,0,IL
63,25/1/2011,Indiana,0,0,0,0,IN
64,25/1/2011,Iowa,0,0,0,0,IA
65,25/1/2011,Kansas,0,0,0,0,KS
66,25/1/2011,Kentucky,0,0,0,0,KY
67,25/1/2011,Louisiana,0,0,0,0,LA
68,25/1/2011,Maine,0,0,0,0,ME
69,25/1/2011,Maryland,0,0,0,0,MD
70,25/1/2011,Massachusetts,0,0,0,0,MA
71,25/1/2011,Michigan,0,0,0,0,MI
72,25/1/2011,Minnesota,0,0,0,0,MN
73,25/1/2011,Mississippi,0,0,0,0,MS
74,25/1/2011,Missouri,0,0,0,0,MO
75,25/1/2011,Montana,0,0,0,0,MT
76,25/1/2011,Nebraska,0,0,0,0,NE
77,25/1/2011,Nevada,0,0,0,0,NV
78,25/1/2011,New Hampshire,0,0,0,0,NH
79,25/1/2011,New Jersey,0,0,0,0,NJ
80,25/1/2011,New Mexico,0,0,0,0,NM
81,25/1/2011,New York,0,0,0,0,NY
82,25/1/2011,North Dakota,0,0,0,0,ND
83,25/1/2011,Ohio,0,0,0,0,OH
84,25/1/2011,Oklahoma,0,0,0,0,OK
85,25/1/2011,Oregon,0,0,0,0,OR
86,25/1/2011,Pennsylvania,0,0,0,0,PA
87,25/1/2011,Rhode Island,0,0,0,0,RI
88,25/1/2011,South Carolina,0,0,0,0,SC
89,25/1/2011,South Dakota,0,0,0,0,SD
90,25/1/2011,Tennessee,0,0,0,0,TN
91,25/1/2011,Texas,0,0,0,0,TX
92,25/1/2011,Utah,0,0,0,0,UT
93,25/1/2011,Vermont,0,0,0,0,VT
94,25/1/2011,Virginia,0,0,0,0,VA
95,25/1/2011,Washington,0,0,0,0,WA
96,25/1/2011,West Virginia,0,0,0,0,WV
97,25/1/2011,Wisconsin,0,0,0,0,WI
98,25/1/2011,Wyoming,0,0,0,0,WY
99,26/1/2011,Alabama,0,0,0,0,AL
100,26/1/2011,Alaska,0,0,0,0,AK
101,26/1/2011,Arizona,0,0,0,0,AZ
102,26/1/2011,Arkansas,0,0,0,0,AR
103,26/1/2011,California,0,0,0,0,CA
104,26/1/2011,Colorado,0,0,0,0,CO
105,26/1/2011,Connecticut,0,0,0,0,CT
106,26/1/2011,Delaware,0,0,0,0,DE
107,26/1/2011,Florida,0,0,0,0,FL
108,26/1/2011,Georgia,0,0,0,0,GA
109,26/1/2011,Hawaii,0,0,0,0,HI
110,26/1/2011,Idaho,0,0,0,0,ID
111,26/1/2011,Illinois,0,0,0,0,IL
112,26/1/2011,Indiana,0,0,0,0,IN
113,26/1/2011,Iowa,0,0,0,0,IA
114,26/1/2011,Kansas,0,0,0,0,KS
115,26/1/2011,Kentucky,0,0,0,0,KY
116,26/1/2011,Louisiana,0,0,0,0,LA
117,26/1/2011,Maine,0,0,0,0,ME
118,26/1/2011,Maryland,0,0,0,0,MD
119,26/1/2011,Massachusetts,0,0,0,0,MA
120,26/1/2011,Michigan,0,0,0,0,MI
121,26/1/2011,Minnesota,0,0,0,0,MN
122,26/1/2011,Mississippi,0,0,0,0,MS
123,26/1/2011,Missouri,0,0,0,0,MO
124,26/1/2011,Montana,0,0,0,0,MT
125,26/1/2011,Nebraska,0,0,0,0,NE
126,26/1/2011,Nevada,0,0,0,0,NV
127,26/1/2011,New Hampshire,0,0,0,0,NH
128,26/1/2011,New Jersey,0,0,0,0,NJ
129,26/1/2011,New Mexico,0,0,0,0,NM
130,26/1/2011,New York,0,0,0,0,NY
131,26/1/2011,North Dakota,0,0,0,0,ND
132,26/1/2011,Ohio,0,0,0,0,OH
133,26/1/2011,Oklahoma,0,0,0,0,OK
134,26/1/2011,Oregon,0,0,0,0,OR
135,26/1/2011,Pennsylvania,0,0,0,0,PA
136,26/1/2011,Rhode Island,0,0,0,0,RI
137,26/1/2011,South Carolina,0,0,0,0,SC
138,26/1/2011,South Dakota,0,0,0,0,SD
139,26/1/2011,Tennessee,0,0,0,0,TN
140,26/1/2011,Texas,0,0,0,0,TX
141,26/1/2011,Utah,0,0,0,0,UT
142,26/1/2011,Vermont,0,0,0,0,VT
143,26/1/2011,Virginia,0,0,0,0,VA
144,26/1/2011,Washington,0,0,0,0,WA
145,26/1/2011,West Virginia,0,0,0,0,WV
146,26/1/2011,Wisconsin,0,0,0,0,WI
147,26/1/2011,Wyoming,0,0,0,0,WY
148,27/1/2011,Alabama,0,0,0,0,AL
149,27/1/2011,Alaska,0,0,0,0,AK
150,27/1/2011,Arizona,0,0,0,0,AZ
151,27/1/2011,Arkansas,0,0,0,0,AR
152,27/1/2011,California,0,0,0,0,CA
153,27/1/2011,Colorado,0,0,0,0,CO
154,27/1/2011,Connecticut,0,0,0,0,CT
155,27/1/2011,Delaware,0,0,0,0,DE
156,27/1/2011,Florida,0,0,0,0,FL
157,27/1/2011,Georgia,0,0,0,0,GA
158,27/1/2011,Hawaii,0,0,0,0,HI
159,27/1/2011,Idaho,0,0,0,0,ID
160,27/1/2011,Illinois,0,0,0,0,IL
161,27/1/2011,Indiana,0,0,0,0,IN
162,27/1/2011,Iowa,0,0,0,0,IA
163,27/1/2011,Kansas,0,0,0,0,KS
164,27/1/2011,Kentucky,0,0,0,0,KY
165,27/1/2011,Louisiana,0,0,0,0,LA
166,27/1/2011,Maine,0,0,0,0,ME
167,27/1/2011,Maryland,0,0,0,0,MD
168,27/1/2011,Massachusetts,0,0,0,0,MA
169,27/1/2011,Michigan,0,0,0,0,MI
170,27/1/2011,Minnesota,0,0,0,0,MN
171,27/1/2011,Mississippi,0,0,0,0,MS
172,27/1/2011,Missouri,0,0,0,0,MO
173,27/1/2011,Montana,0,0,0,0,MT
174,27/1/2011,Nebraska,0,0,0,0,NE
175,27/1/2011,Nevada,0,0,0,0,NV
176,27/1/2011,New Hampshire,0,0,0,0,NH
177,27/1/2011,New Jersey,0,0,0,0,NJ
178,27/1/2011,New Mexico,0,0,0,0,NM
179,27/1/2011,New York,0,0,0,0,NY
180,27/1/2011,North Dakota,0,0,0,0,ND
181,27/1/2011,Ohio,0,0,0,0,OH
182,27/1/2011,Oklahoma,0,0,0,0,OK
183,27/1/2011,Oregon,0,0,0,0,OR
184,27/1/2011,Pennsylvania,0,0,0,0,PA
185,27/1/2011,Rhode Island,0,0,0,0,RI
186,27/1/2011,South Carolina,0,0,0,0,SC
187,27/1/2011,South Dakota,0,0,0,0,SD
188,27/1/2011,Tennessee,0,0,0,0,TN
189,27/1/2011,Texas,0,0,0,0,TX
190,27/1/2011,Utah,0,0,0,0,UT
191,27/1/2011,Vermont,0,0,0,0,VT
192,27/1/2011,Virginia,0,0,0,0,VA
193,27/1/2011,Washington,0,0,0,0,WA
194,27/1/2011,West Virginia,0,0,0,0,WV
195,27/1/2011,Wisconsin,0,0,0,0,WI
196,27/1/2011,Wyoming,0,0,0,0,WY
197,28/1/2011,Alabama,0,0,0,0,AL
198,28/1/2011,Alaska,0,0,0,0,AK
199,28/1/2011,Arizona,0,0,0,0,AZ
200,28/1/2011,Arkansas,0,0,0,0,AR
201,28/1/2011,California,0,0,0,0,CA
202,28/1/2011,Colorado,0,0,0,0,CO
203,28/1/2011,Connecticut,0,0,0,0,CT
204,28/1/2011,Delaware,0,0,0,0,DE
205,28/1/2011,Florida,0,0,0,0,FL
206,28/1/2011,Georgia,0,0,0,0,GA
207,28/1/2011,Hawaii,0,0,0,0,HI
208,28/1/2011,Idaho,0,0,0,0,ID
209,28/1/2011,Illinois,0,0,0,0,IL
210,28/1/2011,Indiana,0,0,0,0,IN
211,28/1/2011,Iowa,0,0,0,0,IA
212,28/1/2011,Kansas,0,0,0,0,KS
213,28/1/2011,Kentucky,0,0,0,0,KY
214,28/1/2011,Louisiana,0,0,0,0,LA
215,28/1/2011,Maine,0,0,0,0,ME
216,28/1/2011,Maryland,0,0,0,0,MD
217,28/1/2011,Massachusetts,0,0,0,0,MA
218,28/1/2011,Michigan,0,0,0,0,MI
219,28/1/2011,Minnesota,0,0,0,0,MN
220,28/1/2011,Mississippi,0,0,0,0,MS
221,28/1/2011,Missouri,0,0,0,0,MO
222,28/1/2011,Montana,0,0,0,0,MT
223,28/1/2011,Nebraska,0,0,0,0,NE
224,28/1/2011,Nevada,0,0,0,0,NV
225,28/1/2011,New Hampshire,0,0,0,0,NH
